CHEMid,Smiles,data_source,ActivityValue_pIC50
CHEMBL5077243,O=C(NCc1cc2ccccc2[nH]1)c1cc(=O)n2ccccc2n1,CHEMBL4106140,5.175223537524454
CHEMBL5089599,Cn1c(CNCC2CCC2)cc2ccc(CNC(=O)c3cc(=O)n4ccccc4n3)cc21,CHEMBL4106140,5.29413628771608
CHEMBL5085379,O=C(NCc1cc2ccccn2c1)c1cc(=O)n2ccccc2n1,CHEMBL4106140,5.29413628771608
CHEMBL5074552,O=C(NCc1ccc2cc(CNCC(F)(F)F)[nH]c2c1)c1cc(=O)n2ccccc2n1,CHEMBL4106140,5.913640169325252
CHEMBL5086074,CC(=O)N(Cc1cc2ccc(CNC(=O)c3cc(=O)n4ccccc4n3)cc2[nH]1)CC1CCC1,CHEMBL4106140,5.935542010773082
CHEMBL5087675,O=C(NCc1ccc2cc[nH]c2c1)c1cc(=O)n2ccccc2n1,CHEMBL4106140,5.962573502059376
CHEMBL5084106,O=C(NCc1ccc2cc(C3CCCCN3)[nH]c2c1)c1cc(=O)n2ccccc2n1,CHEMBL4106140,6.121478204498794
CHEMBL5094085,CC1CCN1Cc1cc2ccc(CNC(=O)c3cc(=O)n4ccccc4n3)cc2[nH]1,CHEMBL4106140,6.195179321278838
CHEMBL5086016,C#CCNCc1cc2ccc(CNC(=O)c3cc(=O)n4ccccc4n3)cc2[nH]1,CHEMBL4106140,6.196542884351586
CHEMBL5090575,O=C(NCc1ccc2cc(CN3CCOCC3)[nH]c2c1)c1cc(=O)n2ccccc2n1,CHEMBL4106140,6.219682687859849
CHEMBL5080826,O=C(NCc1ccc2cc(CO)[nH]c2c1)c1cc(=O)n2ccccc2n1,CHEMBL4106140,6.248720896016658
CHEMBL5087448,c1ccc2c(-n3cc(Cc4ccc5cc(CNCC6CCC6)[nH]c5c4)nn3)cncc2c1,CHEMBL4106140,6.305394801066432
CHEMBL5092433,O=C(NCc1ccc2cc(CN3CC(F)C3)[nH]c2c1)c1cc(=O)n2ccccc2n1,CHEMBL4106140,6.311580177997289
